dia_de_semana,hora,linea,estacion,trx_totales
False,0,A,ALBERTI,3.0
False,0,A,CASTRO BARROS,1.0
False,0,A,CONGRESO,7.0
False,0,A,FLORES,3.0
False,0,A,LIMA,3.0
False,0,A,LORIA,5.0
False,0,A,PLAZA MISERERE,8.0
False,0,A,PRIMERA JUNTA,4.0
False,0,A,PUAN,2.0
False,0,A,SAN PEDRITO,8.0
False,0,B,ANGEL GALLARDO,1.0
False,0,B,CARLOS GARDEL,1.0
False,0,B,CARLOS PELLEGRINI,5.0
False,0,B,DORREGO,1.0
False,0,B,FEDERICO LACROZE,3.0
False,0,B,MALABIA,2.0
False,0,B,PASTEUR,2.0
False,0,B,ROSAS,1.0
False,0,B,TRONADOR,3.0
False,0,C,CONSTITUCION,2.0
False,0,C,DIAGONAL NORTE,6.0
False,0,C,INDEPENDENCIA,1.0
False,0,D,BULNES,3.0
False,0,D,CONGRESO DE TUCUMAN,14.0
False,0,D,JOSE HERNANDEZ,2.0
False,0,D,MINISTRO CARRANZA,3.0
False,0,D,OLLEROS,1.0
False,0,D,PLAZA ITALIA,4.0
False,0,D,SCALABRINI ORTIZ,5.0
False,0,D,TRIBUNALES,1.0
False,0,E,AVENIDA LA PLATA,11.0
False,0,E,BOEDO,1.0
False,0,E,BOLIVAR,1.0
False,0,E,CATALINAS,3.0
False,0,E,CORREO CENTRAL,10.0
False,0,E,ENTRE RIOS,1.0
False,0,E,GENERAL BELGRANO,1.0
False,0,E,JUJUY,7.0
False,0,E,PICHINCHA,1.0
False,0,E,PZA. DE LOS VIRREYES,1.0
False,0,E,RETIRO E,6.0
False,0,E,URQUIZA,2.0
False,0,E,VARELA,1.0
False,0,H,CORDOBA,5.0
False,0,H,CORRIENTES,7.0
False,0,H,HOSPITALES,3.0
False,0,H,HUMBERTO I,6.0
False,0,H,INCLAN,3.0
False,0,H,LAS HERAS,2.0
False,0,H,ONCE,2.0
False,0,H,PATRICIOS,4.0
False,0,H,SANTA FE,1.0
False,0,H,VENEZUELA,2.0
False,1,A,CARABOBO,1.0
False,1,A,PLAZA MISERERE,1.0
False,1,B,FEDERICO LACROZE,5.0
False,1,D,AGÃÂÃÂ¼ERO,1.0
False,1,D,CONGRESO DE TUCUMAN,8.0
False,1,E,AVENIDA LA PLATA,2.0
False,1,E,RETIRO E,3.0
False,2,A,ACOYTE,1.0
False,2,A,PERU,7.0
False,2,A,PIEDRAS,5.0
False,2,A,PLAZA DE MAYO,6.0
False,2,B,FEDERICO LACROZE,1.0
False,2,B,LEANDRO N. ALEM,3.0
False,2,B,PUEYRREDON,1.0
False,2,B,ROSAS,1.0
False,2,C,MARIANO MORENO,4.0
False,2,D,CATEDRAL,1.0
False,2,D,CONGRESO DE TUCUMAN,4.0
False,2,D,MINISTRO CARRANZA,1.0
False,2,D,PUEYRREDON.D,1.0
False,2,E,CORREO CENTRAL,1.0
False,2,E,RETIRO E,3.0
False,3,A,LIMA,9.0
False,3,A,PIEDRAS,3.0
False,3,A,RIO DE JANEIRO,1.0
False,3,A,SAENZ PEÃÂÃÂ±A ,3.0
False,3,B,FEDERICO LACROZE,2.0
False,3,D,CONGRESO DE TUCUMAN,2.0
False,3,E,RETIRO E,2.0
False,4,A,ACOYTE,2.0
False,4,A,ALBERTI,8.0
False,4,A,CONGRESO,7.0
False,4,A,PASCO,3.0
False,4,A,PLAZA MISERERE,7.0
False,4,B,PUEYRREDON,2.0
False,4,C,SAN JUAN,1.0
False,4,D,CONGRESO DE TUCUMAN,5.0
False,4,D,MINISTRO CARRANZA,1.0
False,4,E,AVENIDA LA PLATA,1.0
False,4,E,CATALINAS,1.0
False,4,E,JOSE MARIA MORENO,2.0
False,4,E,RETIRO E,3.0
False,5,A,ACOYTE,15.0
False,5,A,ALBERTI,18.0
False,5,A,CARABOBO,19.0
False,5,A,CASTRO BARROS,14.0
False,5,A,CONGRESO,35.0
False,5,A,FLORES,18.0
False,5,A,LIMA,26.0
False,5,A,LORIA,24.0
False,5,A,PERU,29.0
False,5,A,PIEDRAS,20.0
False,5,A,PLAZA DE MAYO,41.0
False,5,A,PLAZA MISERERE,126.0
False,5,A,PRIMERA JUNTA,33.0
False,5,A,PUAN,11.0
False,5,A,RIO DE JANEIRO,19.0
False,5,A,SAENZ PEÃÂÃÂ±A ,2.0
False,5,A,SAN PEDRITO,65.0
False,5,B,ANGEL GALLARDO,10.0
False,5,B,CALLAO.B,36.0
False,5,B,CARLOS GARDEL,31.0
False,5,B,CARLOS PELLEGRINI,89.0
False,5,B,DORREGO,30.0
False,5,B,ECHEVERRIA,4.0
False,5,B,FEDERICO LACROZE,202.0
False,5,B,FLORIDA,7.0
False,5,B,LEANDRO N. ALEM,114.0
False,5,B,LOS INCAS,21.0
False,5,B,MALABIA,11.0
False,5,B,MEDRANO,118.0
False,5,B,PASTEUR,7.0
False,5,B,PUEYRREDON,23.0
False,5,B,ROSAS,115.0
False,5,B,TRONADOR,6.0
False,5,B,URUGUAY,18.0
False,5,C,AVENIDA DE MAYO,10.0
False,5,C,CONSTITUCION,577.0
False,5,C,DIAGONAL NORTE,5.0
False,5,C,GENERAL SAN MARTIN,20.0
False,5,C,INDEPENDENCIA,78.0
False,5,C,LAVALLE,31.0
False,5,C,MARIANO MORENO,12.0
False,5,C,RETIRO,214.0
False,5,C,SAN JUAN,31.0
False,5,D,9 DE JULIO,15.0
False,5,D,AGÃÂÃÂ¼ERO,18.0
False,5,D,BULNES,21.0
False,5,D,CALLAO,7.0
False,5,D,CATEDRAL,31.0
